City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Opuwo,NA,2021-05-29 19:16:36,-18.0607,13.84,64.99,26,0,7.52
104,Skibbereen,IE,2021-05-29 19:16:37,51.55,-9.2667,58.8,81,9,3.8
105,Mizdah,LY,2021-05-29 19:16:37,31.4451,12.9801,84.36,27,52,14.7
106,Carnarvon,AU,2021-05-29 19:16:37,-24.8667,113.6333,60.87,94,40,5.75
107,Hobart,AU,2021-05-29 19:15:40,-42.8794,147.3294,46.26,75,90,1.01
108,Aldan,RU,2021-05-29 19:16:37,58.6031,125.3894,44.71,64,45,5.77
109,Sao Joao Da Barra,BR,2021-05-29 19:16:38,-21.6403,-41.0511,87.89,67,5,8.14
110,Mount Isa,AU,2021-05-29 19:16:38,-20.7333,139.5,53.37,43,0,5.75
111,Urzhum,RU,2021-05-29 19:16:38,57.1141,49.9996,59.54,94,90,4.12
112,Bairiki,KI,2021-05-29 19:16:39,1.3292,172.9752,82.4,83,75,14.38
113,Ronne,DK,2021-05-29 19:16:39,55.1009,14.7066,51.71,82,2,3.44
114,Hualmay,PE,2021-05-29 19:13:30,-11.0964,-77.6139,68.81,78,45,11.05
115,Andenes,NO,2021-05-29 19:16:39,69.3143,16.1194,47.07,87,75,16.11
116,Bredasdorp,ZA,2021-05-29 19:16:40,-34.5322,20.0403,53.28,90,5,5.95
117,Lardos,GR,2021-05-29 19:16:40,36.0942,28.0157,71.94,74,3,15.17
118,Qaanaaq,GL,2021-05-29 19:11:44,77.484,-69.3632,31.69,95,49,5.77
119,Carutapera,BR,2021-05-29 19:16:40,-1.195,-46.02,81.3,85,59,7.27
120,Ribeira Grande,PT,2021-05-29 19:16:41,38.5167,-28.7,68.4,73,75,4.61
121,Brae,GB,2021-05-29 19:16:41,60.3964,-1.353,46.31,78,5,3.76
122,Sioux Lookout,CA,2021-05-29 19:16:41,50.1001,-91.917,66.27,26,75,13.8
123,Dikson,RU,2021-05-29 19:16:42,73.5069,80.5464,20.28,96,14,2.55
124,College,US,2021-05-29 19:16:42,64.8569,-147.8028,46.58,46,75,11.5
125,Machilipatnam,IN,2021-05-29 19:16:42,16.1667,81.1333,89.51,62,88,6.11
126,Tura,IN,2021-05-29 19:15:15,25.5198,90.2201,73.22,90,70,3.6
127,Fortuna,US,2021-05-29 19:16:43,40.5982,-124.1573,81.48,92,90,16.11
128,Terrace,CA,2021-05-29 19:15:10,54.5163,-128.6035,59.43,54,75,5.75
129,Ndago,TZ,2021-05-29 19:16:43,-4.6,34.35,69.8,55,79,8.77
130,Vao,NC,2021-05-29 19:16:43,-22.6667,167.4833,68.09,67,98,20.67
131,Dhidhdhoo,MV,2021-05-29 19:16:44,6.8833,73.1,83.3,70,19,21.27
132,Nowa Sol,PL,2021-05-29 19:16:44,51.8033,15.717,55.87,73,97,9.46
133,Klaksvik,FO,2021-05-29 19:16:44,62.2266,-6.589,50.92,78,7,13.67
134,Zhigansk,RU,2021-05-29 19:16:45,66.7697,123.3711,45.03,68,3,5.41
135,Tigil,RU,2021-05-29 19:16:45,57.8,158.6667,39.61,75,99,3.58
