City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
476,Camacha,PT,33.0833,-16.3333,67.53,94,75,8.05,broken clouds
477,Tabuk,PH,17.4189,121.4443,77.22,87,100,3.31,overcast clouds
478,Zeya,RU,53.75,127.2667,53.08,77,98,3.06,overcast clouds
479,Gat,IL,31.61,34.7642,90.39,29,0,10.25,clear sky
480,Merauke,ID,-8.4667,140.3333,75.7,89,28,12.44,scattered clouds
481,Cuamba,MZ,-14.8031,36.5372,75.16,54,74,3.49,broken clouds
482,Alugan,PH,12.2188,125.4808,80.35,87,100,5.44,overcast clouds
483,Hendek,TR,40.7994,30.7481,66.52,91,96,2.3,overcast clouds
484,Harper,LR,4.375,-7.7169,80.47,81,99,8.72,light rain
485,Campos,BR,-21.75,-41.3,79.75,71,100,1.61,overcast clouds
486,Mount Pleasant,US,32.7941,-79.8626,73.99,69,20,1.99,few clouds
487,Labuan,MY,5.2767,115.2417,82.56,69,96,4.85,overcast clouds
488,Limbang,MY,4.75,115.0,82.51,95,100,1.66,overcast clouds
489,Portland,US,45.5234,-122.6762,66.74,65,55,1.99,broken clouds
490,Humaita,BR,-7.5061,-63.0208,91.29,46,16,3.56,few clouds
491,Gravdal,NO,68.1214,13.5031,49.89,81,75,4.61,broken clouds
492,Chiquimula,GT,14.8,-89.55,81.1,70,46,4.5,scattered clouds
493,San Diego,US,32.7153,-117.1573,63.14,83,90,4.61,overcast clouds
494,Totness,SR,5.8833,-56.3167,80.15,86,31,9.93,scattered clouds
495,Rio Gallegos,AR,-51.6226,-69.2181,30.25,86,40,3.44,scattered clouds
496,Moranbah,AU,-22.0016,148.0466,56.89,92,25,9.06,scattered clouds
497,Flin Flon,CA,54.7682,-101.865,59.85,42,100,7.38,overcast clouds
498,Wanaka,NZ,-44.7,169.15,45.28,89,100,3.24,overcast clouds
499,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,67,73,9.22,broken clouds
500,Mackay,AU,-21.15,149.2,60.67,78,100,11.3,overcast clouds
501,Kavaratti,IN,10.5669,72.642,83.77,76,21,22.48,few clouds
502,Jalu,LY,29.0331,21.5482,96.8,15,12,14.32,few clouds
503,Gondar,ET,12.6,37.4667,81.73,16,48,6.67,scattered clouds
504,Westport,US,41.1415,-73.3579,57.27,85,100,1.01,overcast clouds
505,Champerico,GT,14.3,-91.9167,90.77,63,96,2.77,overcast clouds
